GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MatchingEngine,default,Order,30,251,10,22,6,55,9,20,1,12
MatchingEngine,default,Broker,45,175,4,14,10,38,5,16,2,10
MatchingEngine,default,OrderBook,96,253,11,19,19,61,10,24,4,15
MatchingEngine,default,Shareholder,56,205,6,16,12,43,6,17,2,10
MatchingEngine,default,WaveletTransform,87,0,2,0,13,0,3,0,2,0
MatchingEngine,default,TrisectionFrequencyConversion,117,0,6,0,15,0,5,0,2,0
MatchingEngine,default,MatchingEngine,79,343,20,46,13,80,13,31,0,11
MatchingEngine,default,ART_WT,99,0,10,0,23,0,10,0,5,0
MatchingEngine,default,Trade,33,76,0,2,8,17,1,4,1,3
MatchingEngine,default,Environment,2,168,1,11,1,38,1,16,0,11
MatchingEngine,default,FrequencyTransform,108,0,8,0,24,0,8,0,4,0
MatchingEngine,default,ART_TFC,99,0,10,0,23,0,10,0,5,0
MatchingEngine,default,ART_FT,99,0,10,0,23,0,10,0,5,0
MatchingEngine,default,Distance,34,0,2,0,5,0,3,0,2,0
